"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"crosstable","crosstable","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.0",NA,"R (>= 3.1.0)","checkmate, cli, dplyr (>= 1.0.0), flextable (>= 0.5.8),
forcats, glue, lifecycle, officer (>= 0.4), purrr, rlang (>=
0.4.7), stats, stringr, tibble, tidyr, tidyselect",NA,"callr, covr, crayon, xml2, digest, gt, expss, ggplot2,
gmodels, Hmisc, jsonlite, knitr, openxlsx, rmarkdown, sloop,
stringi, survival, systemfonts, testthat (>= 3.0.0), withr,
waldo",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"crosstalk","crosstalk","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"crsmeta","crsmeta","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.0",NA,"R (>= 3.5.0)","methods",NA,"testthat (>= 2.1.0), spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"crul","crul","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"Cubist","Cubist","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.0",NA,"lattice","reshape2, utils",NA,"mlbench, knitr, modeldata, dplyr (>= 0.7.4), rlang,
tidyrules, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"curl","curl","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.3.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"dashboardthemes","dashboardthemes","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.5",NA,"R (>= 3.2.3)","htmltools (>= 0.3.5)",NA,"testthat, lintr, knitr, rmarkdown, glue, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"dashCoreComponents","dashCoreComponents","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.10.0",NA,"R (>= 3.0.2)","",NA,"dash, dashHtmlComponents, jsonlite, plotly, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"dashHtmlComponents","dashHtmlComponents","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.3",NA,"R (>= 3.0.2)","",NA,"dash, dashCoreComponents, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"data.table","data.table","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.14.0",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"DBI","DBI","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.2",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.5"
"dbplyr","dbplyr","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ddalpha","ddalpha","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.13",NA,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry","Rcpp (>= 0.11.0)","BH, Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"deldir","deldir","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-6",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"dendextend","dendextend","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.15.2",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr","ggdendro, dendroextras, Hmisc, data.table, rpart","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.5"
"DEoptimR","DEoptimR","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-11",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"depmixS4","depmixS4","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5-0",NA,"R (>= 4.0.0), nnet, MASS, Rsolnp, nlme","stats, stats4, methods",NA,"gamlss, gamlss.dist, Rdonlp2",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"Deriv","Deriv","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.1.3",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"desc","desc","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.1",NA,"R (>= 3.4)","cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"deSolve","deSolve","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.34",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"diagram","diagram","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"DiagrammeR","DiagrammeR","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.9",NA,"R (>= 3.2)","dplyr (>= 1.0.7), downloader (>= 0.4), glue (>= 1.5.0),
htmltools (>= 0.5.2), htmlwidgets (>= 1.5), igraph (>= 1.2.11),
influenceR (>= 0.1.0.1), magrittr (>= 1.5), purrr (>= 0.3.4),
RColorBrewer (>= 1.1-2), readr (>= 2.1.1), rlang (>= 0.4),
rstudioapi (>= 0.7), scales (>= 1.1), stringr (>= 1.4), tibble
(>= 3.1), tidyr (>= 1.1), viridis (>= 0.6.2), visNetwork (>=
2.1.0)",NA,"covr, DiagrammeRsvg, rsvg, knitr, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"dials","dials","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.1",NA,"R (>= 3.4), scales","DiceDesign, dplyr (>= 0.8.5), glue, hardhat (>= 0.2.0),
lifecycle, purrr, rlang (>= 1.0.1), tibble, utils, vctrs (>=
0.3.8), withr",NA,"covr, kernlab, knitr, rmarkdown, rpart, testthat (>= 3.0.0),
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"DiceDesign","DiceDesign","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.9",NA,"R (>= 2.10)",NA,NA,"rgl, randtoolbox, lattice",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"dichromat","dichromat","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.3"
"diffobj","diffobj","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"digest","digest","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6.27",NA,"R (>= 3.3.0)","utils",NA,"tinytest, knitr, rmarkdown, minidown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"dismo","dismo","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3-5",NA,"R (>= 4.0.0), raster (>= 3.5-2), sp (>= 1.4-5)","Rcpp, methods, terra (>= 1.4-11)","Rcpp","rJava (>= 0.9-7), rgdal, rgeos, XML, ROCR, deldir, gstat,
randomForest, kernlab, maptools, jsonlite, gbm (>= 2.1.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"distributional","distributional","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.0",NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, ellipsis, stats,
numDeriv, ggplot2, scales, farver, digest, utils, lifecycle",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar (>= 2.0.0), ggdist",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"doParallel","doParallel","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.0.5"
"doSNOW","doSNOW","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.20",NA,"R (>= 2.5.0), foreach(>= 1.2.0), iterators(>= 1.0.0), snow(>=
0.3.0), utils",NA,NA,"compiler, RUnit, caret, mlbench, rpart, parallel",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"dotCall64","dotCall64","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-1",NA,"R (>= 3.1)",NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"dotwhisker","dotwhisker","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.7.4",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","grid, stats, parameters, margins, dplyr, stringr, ggstance,
rlang, purrr, gtable",NA,"ordinal, tibble, gridExtra, knitr, rmarkdown, broom",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"downlit","downlit","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.2",NA,"R (>= 3.4.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"downloader","downloader","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"dreamerr","dreamerr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.3",NA,NA,"Formula, utils",NA,"knitr, rmarkdown, stats, graphics",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.4"
"DT","DT","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.22",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, testit",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"dtplyr","dtplyr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.1",NA,"R (>= 3.3)","crayon, data.table (>= 1.13.0), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.0.0), tidyr (>=
1.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"dunn.test","dunn.test","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.5",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"dygraphs","dygraphs","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"e1071","e1071","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7-8",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"earth","earth","C:/Users/sarah.salois/Documents/r/win-library/4.0","5.3.1",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.6.0),
TeachingDemos (>= 2.10)",NA,NA,"gam (>= 1.20), mgcv (>= 1.8-26), mda (>= 0.5-2), MASS (>=
7.3-51)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"ecodata","ecodata","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, dplyr, stringr, tidyr, ggplot2, lubridate,
tufte, here, usethis, AICcmodavg, mgcv, zoo",NA,"file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"effects","effects","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.2-2",NA,"R (>= 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability, insight",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr, betareg, alr4, robustlmm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"ellipse","ellipse","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.2",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"ellipsis","ellipsis","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"elliptic","elliptic","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4-0",NA,"R (>= 2.5.0)","MASS",NA,"emulator, calibrator (>= 1.2-8)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"embedr","embedr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,NA,"htmltools, httr, knitr",NA,"rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"emmeans","emmeans","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7.3",NA,"R (>= 3.5.0)","estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, mvtnorm, xtable (>= 1.8-2)",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
ggplot2, lattice, logspline, mediation, mgcv, multcomp,
multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest (>=
0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm, knitr,
rmarkdown, scales, splines, testthat","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.5"
"epitools","epitools","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5-10.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"EQL","EQL","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-1",NA,"ttutils(>= 0.1-0)","lattice(>= 0.17-17)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"estimability","estimability","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"evaluate","evaluate","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.15",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"evgam","evgam","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.4",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.4.6), mgcv","Rcpp, RcppArmadillo",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"expm","expm","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.999-6",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"extraDistr","extraDistr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.9.1",NA,"R (>= 3.1.0)","Rcpp","Rcpp","testthat, LaplacesDemon, VGAM, evd, hoa, skellam, triangle,
actuar",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"extrafont","extrafont","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.18",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"extrafontdb","extrafontdb","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.3"
"factoextra","factoextra","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.7",NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"FactoMineR","FactoMineR","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.4",NA,"R (>= 3.5.0)","car,cluster,DT,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny,markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"fansi","fansi","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.2",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"farver","farver","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"fastICA","fastICA","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2-3",NA,"R (>= 4.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"fastmap","fastmap","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.4"
"fastmatch","fastmatch","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-3",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"fBasics","fBasics","C:/Users/sarah.salois/Documents/r/win-library/4.0","3042.89.1",NA,"R (>= 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial,
gss, stabledist",NA,"akima, RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"fGarch","fGarch","C:/Users/sarah.salois/Documents/r/win-library/4.0","3042.83.2",NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics","fastICA, Matrix, graphics, methods, stats, utils",NA,"RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"fields","fields","C:/Users/sarah.salois/Documents/r/win-library/4.0","13.3",NA,"R (>= 3.0), methods, spam, viridis","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"filehash","filehash","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.4-3",NA,"R (>= 3.0.0), methods",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"fishmethods","fishmethods","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.12-0",NA,"R (>= 2.7.0)","methods, data.table, MASS, boot, lme4, bootstrap, numDeriv,
TMB","TMB",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"flashClust","flashClust","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.3"
"flextable","flextable","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.3",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.4.4),
rmarkdown, knitr, htmltools, xml2, data.table (>= 1.13.0), uuid
(>= 0.1-4), gdtools (>= 0.1.6), rlang, base64enc, grid",NA,"testthat (>= 2.1.0), magick, equatags, commonmark, ggplot2,
scales, webshot, doconv (>= 0.1.4), locatexec, xtable, broom,
broom.mixed, mgcv, cluster, lme4, nlme, bookdown, pdftools,
officedown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"FNN","FNN","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"fontawesome","fontawesome","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.2",NA,"R (>= 3.3.0)","rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",NA,"covr, knitr, testthat, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"forcats","forcats","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"foreach","foreach","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.0.5"
"forecast","forecast","C:/Users/sarah.salois/Documents/r/win-library/4.0","8.16",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","forecTheta, knitr, methods, rmarkdown, rticles, seasonal,
testthat, uroot",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"foreign","foreign","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8-82","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"forge","forge","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,"R (>= 3.1.2)","rlang (>= 0.3.1), magrittr",NA,"testthat, covr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.5"
"Formula","Formula","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"fracdiff","fracdiff","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5-1",NA,NA,"stats",NA,"longmemo, forecast, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"fs","fs","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.2",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"FSA","FSA","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9.3",NA,"R (>= 3.5.0)","graphics, grDevices, stats, tools, utils, car, dunn.test,
lmtest, plotrix, withr",NA,"DescTools, dplyr, fishmethods, FSAdata, knitr, marked, nlme,
nlstools, pkgdown, plyr, psych, Rcapture, rmarkdown, testthat,
tibble, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"FSAdata","FSAdata","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.9",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"furrr","furrr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.3",NA,"future (>= 1.19.1), R (>= 3.2.0)","ellipsis, globals (>= 0.13.1), lifecycle (>= 1.0.0), purrr (>=
0.3.0), rlang (>= 0.3.0), vctrs (>= 0.3.2)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), withr, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"future","future","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.24.0",NA,NA,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.30.0), tools, utils",NA,"RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.5"
"future.apply","future.apply","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.8.1",NA,"R (>= 3.2.0), future (>= 1.21.0)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"gamair","gamair","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-2",NA,"R (>= 2.10)",NA,NA,"mgcv, lattice, MASS, nlme, lme4, geoR, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
